"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MYD88",0,1.65354622082481,0.365,0.116,0
"SLC25A37",0,2.21386705735483,0.318,0.069,0
"NRG1",0,7.84917965185427,0.25,0.001,0
"NADK",0,3.04479333606589,0.286,0.037,0
"LDLRAP1",0,-2.97676778030722,0.062,0.31,0
"SH3YL1",0,-3.21133747934806,0.05,0.298,0
"SLC8A1",0,7.25515967925018,0.25,0.002,0
"IRAK3",0,6.69916204094138,0.25,0.002,0
"C14orf2",0,1.24822887442231,0.801,0.553,0
"FOXP1",0,-1.55180368210803,0.283,0.53,0
"SEC61B",0,0.862893897346866,0.732,0.485,0
"TRAC",0,-3.17833243423022,0.047,0.294,0
"TMEM219",0,1.08033250701591,0.636,0.389,0
"YWHAE",0,1.29591084310206,0.449,0.202,0
"SH2B3",0,3.68370087175446,0.268,0.022,0
"DBI",0,1.14733690599617,0.695,0.449,0
"MCL1",0,1.25666473558688,0.782,0.537,0
"STX10",0,1.264111020165,0.441,0.196,0
"DOCK8",0,1.11361770893352,0.459,0.215,0
"RTN3",0,1.64851717853034,0.375,0.131,0
"UQCRQ",0,1.12611017966612,0.71,0.466,0
"CAPZA2",0,1.3040544672975,0.451,0.208,0
"RASA3",0,-2.25192923083805,0.119,0.362,0
"HOTAIRM1",0,2.29575849103855,0.3,0.058,0
"NAPRT",0,1.66507588007289,0.359,0.117,0
"SF1",0,-1.20734028791613,0.54,0.782,0
"ADD3",0,-1.54279283246983,0.262,0.504,0
